model,seed,runtime_sec,Recall@20,NDCG@20,MRR@20,Coverage@20,best_valid_NDCG@20,interest_usage_entropy,interest_usage_max_share,interest_target_score_entropy_mean
FMLP-Rec,42,2011.66,0.0207390689093091,0.0082838808996589,0.0049151072658032,0.14235,0.0092116012230378,,,
FMLP-Rec,43,2021.03,0.0236802980636609,0.0097272081747281,0.0059145737896486,0.17035,0.0104796719254863,,,
FMLP-Rec,44,2035.61,0.0198918086230676,0.0079075272377713,0.0046513732161664,0.15455,0.0089477892958076,,,
GRU4Rec,42,658.2,0.0637630537195264,0.024939851140099,0.0144217466514517,0.56505,0.0269451500826705,,,
GRU4Rec,43,657.9,0.0707489207731026,0.0280356454100089,0.016426454125811,0.56465,0.0306149803145858,,,
GRU4Rec,44,659.18,0.0720045855947838,0.0286235858632801,0.0168307506579033,0.5656,0.0314397300160708,,,
MetadataComiRecSA,42,6816.47,0.0716588747380299,0.0277819760192071,0.0159024016576805,0.50265,0.0295428134053965,1.0453006203209465,0.4773335482830888,0.6811151684979081
MetadataComiRecSA,43,6714.41,0.0733086141114514,0.0287403605997012,0.0166565943455558,0.50015,0.0306377656987484,1.0178405604896823,0.4334820069142171,0.6532423878954622
MetadataComiRecSA,44,6733.66,0.0799935515073351,0.0319720172596493,0.0189108806235899,0.5038,0.0335968631440491,0.720719956941589,0.5167678721765454,0.5416037131466113
MetadataSASRec,42,5230.78,0.0628781772260734,0.0246358093906392,0.014250594393491,0.4909,0.0260409125476255,,,
MetadataSASRec,43,5229.56,0.0661579522453293,0.0258145532952085,0.0148839806247539,0.514,0.0276129716307262,,,
MetadataSASRec,44,5229.19,0.0629068371934726,0.0244832363336952,0.0140768788499883,0.50595,0.0261152369929663,,,
MetadataComiRecSA+LabelAware+DivReg,42,6868.3,0.025844125602307127,0.009860097361886023,0.0055444115785158055,0.1728,0.010066884529798323,0.9657865680633103,0.5518960359682591,0.34788221639332895
MetadataComiRecSA+LabelAware+DivReg,43,6861.06,0.032208429612911316,0.01237839614603195,0.007023321221988492,0.23355,0.01317481729298682,1.235399559112385,0.4199759972773031,0.5852648436688985
MetadataComiRecSA+LabelAware+DivReg,44,5524.58,0.027574471134039085,0.010447615413671445,0.005825474293962481,0.1662,0.010817832498887386,1.1544166879438023,0.5096136278144984,1.0610994531811166
MetadataSASRec+CL4SRec,42,6822.75,0.08768875275404374,0.03488302418332838,0.020535629654768628,0.6316,0.037437978807830216,,,
MetadataSASRec+CL4SRec,43,5506.03,0.08240815376072509,0.032174590278721556,0.018550992095256104,0.56945,0.0346647282441672,,,
MetadataSASRec+CL4SRec,44,5486.55,0.08419223673133072,0.03295438069346391,0.01904873818147706,0.5838,0.03576247955425355,,,
MetadataSASRec+SimDCL,42,6725.39,0.0804700234653483,0.0326350183698511,0.019595429920759164,0.63955,0.03444767850036446,,,
MetadataSASRec+SimDCL,43,5448.22,0.08708510219069626,0.03451938815595513,0.02022375717927172,0.5881,0.03724826878095666,,,
MetadataSASRec+SimDCL,44,6769.41,0.08240636251276263,0.03321442224088219,0.019825251234283487,0.6353,0.03552686615079606,,,
TopPop,fixed,4.35,0.0160764504630375,0.0065620530376579,0.0039246987935488,0.003,0.0062944017667881,,,
